ID,Name,Surname,Maths,Science,English,History,Geography,Total
1,Pranav,Nair,20,23,27,26,6,102
2,Dhruv,Das,1,11,28,18,42,100
3,Aditya,Chatterjee,7,15,3,6,39,70
4,Ayaan,Sharma,42,11,11,37,18,119
5,Raghav,Bhatia,15,12,45,42,15,129
6,Anay,Dutta,35,36,8,39,42,160
7,Shaurya,Ghosh,37,14,29,28,20,128
8,Vivaan,Iyer,12,33,27,39,29,140
9,Shaurya,Choudhary,6,26,40,21,45,138
11,Dhruv,Jain,41,42,42,22,0,147
12,Yuvraj,Patel,0,23,22,17,46,108
13,Aarav,Ghosh,0,12,5,43,50,110
14,Aditya,Nair,13,8,5,19,30,75
15,Sai,Kumar,0,44,5,31,42,122
16,Shivansh,Mehta,0,5,20,1,15,41
17,Ayaan,Singh,12,11,24,48,30,125
18,Shivansh,Saxena,43,12,48,29,12,144
19,Dhruv,Malhotra,6,14,23,22,38,103
20,Ansh,Mukherjee,12,0,23,22,46,103
22,Muhammad,Chopra,35,42,49,2,14,142
23,Sai,Trivedi,47,24,16,28,11,126
24,Reyansh,Bose,45,30,1,3,36,115
25,Shivansh,Nair,24,50,10,34,47,165
26,Pranav,Roy,37,9,39,46,45,176
27,Rudra,Agarwal,12,35,28,47,38,160
29,Anay,Sharma,4,10,45,37,21,117
30,Aarush,Saxena,35,41,5,22,4,107
33,Dhruv,Ghosh,2,48,17,18,19,104
34,Vivaan,Jain,12,19,7,41,6,85
35,Raghav,Chopra,35,46,23,9,4,117
38,Aryan,Malhotra,21,2,28,4,24,79
39,Vivaan,Ghosh,9,20,28,42,6,105
40,Om,Reddy,31,40,32,45,10,158
41,Shivansh,Sen,42,26,27,5,4,104
43,Muhammad,Sen,2,25,27,44,8,106
44,Krishna,Joshi,20,12,35,13,29,109
45,Vivaan,Ghosh,19,4,7,6,1,37
46,Vihaan,Rao,25,27,23,12,50,137
47,Raghav,Dutta,3,17,20,4,6,50
48,Sai,Patel,2,4,8,47,4,65
50,Kabir,Mehta,36,29,46,12,38,161
51,Krishna,Mehta,3,27,25,28,42,125
52,Vivaan,Mukherjee,38,33,34,14,27,146
54,Reyansh,Malhotra,36,9,1,45,45,136
55,Krishna,Jain,27,21,44,8,1,101
57,Krishna,Shah,15,23,14,47,35,134
58,Aryan,Das,46,26,13,30,12,127
59,Advik,Choudhary,14,36,40,18,30,138
60,Raghav,Rao,8,25,12,4,33,82
61,Ayaan,Shah,38,20,0,35,42,135
62,Kabir,Chatterjee,32,0,29,15,38,114
64,Ansh,Jain,31,43,43,8,10,135
65,Vihaan,Sharma,29,50,27,10,16,132
66,Muhammad,Joshi,32,3,38,44,43,160
67,Aditya,Agarwal,2,49,31,0,38,120
68,Arjun,Kumar,4,36,8,46,19,113
69,Aarush,Dutta,39,37,29,10,44,159
70,Vivaan,Gupta,48,9,50,38,3,148
71,Om,Ghosh,5,32,5,13,26,81
72,Aryan,Das,49,15,17,11,21,113
74,Aarav,Ghosh,33,3,42,28,8,114
75,Ansh,Kumar,7,32,37,48,13,137
76,Anay,Bhatia,8,34,18,38,7,105
77,Atharv,Patel,7,2,32,24,23,88
79,Kabir,Sharma,29,3,14,45,18,109
80,Aarav,Kumar,4,49,23,21,21,118
81,Shaurya,Chatterjee,1,39,33,38,1,112
82,Aarav,Singh,40,43,16,11,18,128
83,Sai,Saxena,20,47,1,4,4,76
84,Aarav,Gupta,4,2,15,43,17,81
85,Aarav,Roy,32,13,13,40,14,112
88,Ansh,Sen,1,50,40,16,9,116
89,Kabir,Shah,22,12,38,33,1,106
91,Aditya,Sen,39,11,26,5,42,123
92,Dhruv,Roy,32,31,32,14,44,153
93,Yuvraj,Gupta,37,5,13,47,32,134
94,Atharv,Sen,9,13,25,13,26,86
95,Krishna,Nair,36,14,38,15,30,133
96,Anay,Mehta,45,28,3,29,48,153
97,Aarav,Mukherjee,6,13,36,40,1,96
99,Arjun,Mehta,18,30,9,15,42,114
100,Muhammad,Trivedi,36,1,26,25,19,107
101,Aditya,Nair,20,14,50,13,42,139
102,Vivaan,Sharma,4,9,15,5,28,61
104,Aditya,Reddy,6,33,10,8,35,92
105,Atharv,Kumar,12,1,18,19,36,86
106,Shaurya,Saxena,21,4,27,14,17,83
107,Ansh,Kumar,35,13,11,24,44,127
108,Sai,Nair,20,12,22,3,9,66
109,Atharv,Ghosh,0,19,22,38,4,83
110,Aditya,Kapoor,23,32,13,17,45,130
111,Yuvraj,Jain,8,38,12,6,32,96
112,Vihaan,Saxena,37,28,2,20,47,134
114,Ishaan,Trivedi,32,44,5,12,32,125
115,Ansh,Sharma,30,14,38,14,25,121
116,Vivaan,Kumar,33,15,12,28,49,137
119,Vivaan,Das,43,39,5,37,13,137
120,Vivaan,Kapoor,8,34,13,31,18,104
121,Anay,Ghosh,41,12,48,31,43,175
122,Ansh,Joshi,15,37,1,23,45,121
123,Shaurya,Patel,32,37,13,42,0,124
124,Aarav,Verma,18,5,33,17,27,100
125,Ayaan,Malhotra,13,17,27,36,35,128
127,Aryan,Gupta,10,32,27,19,17,105
128,Anay,Sharma,33,12,2,2,22,71
129,Aarav,Dutta,3,8,6,43,30,90
130,Aditya,Roy,26,1,11,19,22,79
131,Om,Roy,4,11,9,47,39,110
132,Aditya,Ghosh,22,45,30,7,35,139
133,Pranav,Shah,45,26,15,15,13,114
134,Aarav,Verma,4,42,47,10,4,107
135,Dhruv,Rao,7,6,24,26,26,89
136,Vivaan,Mukherjee,42,38,2,15,8,105
137,Shaurya,Trivedi,2,15,21,45,18,101
138,Reyansh,Joshi,39,48,2,49,27,165
140,Aditya,Ghosh,33,40,24,33,14,144
141,Ayaan,Choudhary,19,1,30,28,8,86
144,Shaurya,Trivedi,50,40,7,49,31,177
145,Kabir,Kumar,1,3,19,48,42,113
146,Vivaan,Gupta,9,16,24,41,40,130
147,Ishaan,Bhatia,18,31,1,45,47,142
148,Muhammad,Dutta,21,27,23,11,3,85
149,Ayaan,Reddy,1,29,30,46,8,114
150,Kabir,Kumar,17,25,43,10,16,111
151,Dhruv,Gupta,37,16,43,13,44,153
