ID,Name,Surname,Maths,Science,English,History,Geography
1,Pranav,Nair,20,23,27,26,6
2,Dhruv,Das,1,11,28,18,42
3,Aditya,Chatterjee,7,15,3,6,39
4,Ayaan,Sharma,42,11,11,37,18
5,Raghav,Bhatia,15,12,45,42,15
6,Anay,Dutta,35,36,8,39,42
7,Shaurya,Ghosh,37,14,29,28,20
8,Vivaan,Iyer,12,33,27,39,29
9,Shaurya,Choudhary,6,26,40,21,45
10,Vivaan,Iyer,35,18,30,23,39
11,Dhruv,Jain,41,42,42,22,0
12,Yuvraj,Patel,0,23,22,17,46
13,Aarav,Ghosh,0,12,5,43,50
14,Aditya,Nair,13,8,5,19,30
15,Sai,Kumar,0,44,5,31,42
16,Shivansh,Mehta,0,5,20,1,15
17,Ayaan,Singh,12,11,24,48,30
18,Shivansh,Saxena,43,12,48,29,12
19,Dhruv,Malhotra,6,14,23,22,38
20,Ansh,Mukherjee,12,0,23,22,46
21,Raghav,Bose,15,24,20,17,16
22,Muhammad,Chopra,35,42,49,2,14
23,Sai,Trivedi,47,24,16,28,11
24,Reyansh,Bose,45,30,1,3,36
25,Shivansh,Nair,24,50,10,34,47
26,Pranav,Roy,37,9,39,46,45
27,Rudra,Agarwal,12,35,28,47,38
28,Vivaan,Choudhary,16,23,41,37,29
29,Anay,Sharma,4,10,45,37,21
30,Aarush,Saxena,35,41,5,22,4
31,Aarav,Patel,34,48,44,41,46
32,Ayaan,Patel,18,27,17,41,17
33,Dhruv,Ghosh,2,48,17,18,19
34,Vivaan,Jain,12,19,7,41,6
35,Raghav,Chopra,35,46,23,9,4
36,Aarav,Trivedi,26,30,24,27,19
37,Vivaan,Kapoor,46,32,26,23,39
38,Aryan,Malhotra,21,2,28,4,24
39,Vivaan,Ghosh,9,20,28,42,6
40,Om,Reddy,31,40,32,45,10
41,Shivansh,Sen,42,26,27,5,4
42,Vivaan,Mukherjee,47,40,27,37,27
43,Muhammad,Sen,2,25,27,44,8
44,Krishna,Joshi,20,12,35,13,29
45,Vivaan,Ghosh,19,4,7,6,1
46,Vihaan,Rao,25,27,23,12,50
47,Raghav,Dutta,3,17,20,4,6
48,Sai,Patel,2,4,8,47,4
49,Raghav,Trivedi,47,49,31,36,23
50,Kabir,Mehta,36,29,46,12,38
51,Krishna,Mehta,3,27,25,28,42
52,Vivaan,Mukherjee,38,33,34,14,27
53,Dhruv,Agarwal,47,36,39,41,27
54,Reyansh,Malhotra,36,9,1,45,45
55,Krishna,Jain,27,21,44,8,1
56,Ayaan,Patel,47,39,46,34,15
57,Krishna,Shah,15,23,14,47,35
58,Aryan,Das,46,26,13,30,12
59,Advik,Choudhary,14,36,40,18,30
60,Raghav,Rao,8,25,12,4,33
61,Ayaan,Shah,38,20,0,35,42
62,Kabir,Chatterjee,32,0,29,15,38
63,Shaurya,Roy,19,26,24,26,33
64,Ansh,Jain,31,43,43,8,10
65,Vihaan,Sharma,29,50,27,10,16
66,Muhammad,Joshi,32,3,38,44,43
67,Aditya,Agarwal,2,49,31,0,38
68,Arjun,Kumar,4,36,8,46,19
69,Aarush,Dutta,39,37,29,10,44
70,Vivaan,Gupta,48,9,50,38,3
71,Om,Ghosh,5,32,5,13,26
72,Aryan,Das,49,15,17,11,21
73,Shaurya,Chopra,29,42,44,41,47
74,Aarav,Ghosh,33,3,42,28,8
75,Ansh,Kumar,7,32,37,48,13
76,Anay,Bhatia,8,34,18,38,7
77,Atharv,Patel,7,2,32,24,23
78,Vivaan,Choudhary,31,44,48,48,43
79,Kabir,Sharma,29,3,14,45,18
80,Aarav,Kumar,4,49,23,21,21
81,Shaurya,Chatterjee,1,39,33,38,1
82,Aarav,Singh,40,43,16,11,18
83,Sai,Saxena,20,47,1,4,4
84,Aarav,Gupta,4,2,15,43,17
85,Aarav,Roy,32,13,13,40,14
86,Ansh,Trivedi,27,34,33,37,18
87,Arjun,Sharma,35,16,30,19,43
88,Ansh,Sen,1,50,40,16,9
89,Kabir,Shah,22,12,38,33,1
90,Kabir,Rao,49,40,20,30,39
91,Aditya,Sen,39,11,26,5,42
92,Dhruv,Roy,32,31,32,14,44
93,Yuvraj,Gupta,37,5,13,47,32
94,Atharv,Sen,9,13,25,13,26
95,Krishna,Nair,36,14,38,15,30
96,Anay,Mehta,45,28,3,29,48
97,Aarav,Mukherjee,6,13,36,40,1
98,Aryan,Singh,47,23,46,22,33
99,Arjun,Mehta,18,30,9,15,42
100,Muhammad,Trivedi,36,1,26,25,19
101,Aditya,Nair,20,14,50,13,42
102,Vivaan,Sharma,4,9,15,5,28
103,Om,Joshi,37,23,38,26,42
104,Aditya,Reddy,6,33,10,8,35
105,Atharv,Kumar,12,1,18,19,36
106,Shaurya,Saxena,21,4,27,14,17
107,Ansh,Kumar,35,13,11,24,44
108,Sai,Nair,20,12,22,3,9
109,Atharv,Ghosh,0,19,22,38,4
110,Aditya,Kapoor,23,32,13,17,45
111,Yuvraj,Jain,8,38,12,6,32
112,Vihaan,Saxena,37,28,2,20,47
113,Krishna,Choudhary,16,15,43,27,41
114,Ishaan,Trivedi,32,44,5,12,32
115,Ansh,Sharma,30,14,38,14,25
116,Vivaan,Kumar,33,15,12,28,49
117,Dhruv,Agarwal,46,37,46,22,26
118,Aarav,Kumar,26,21,30,50,25
119,Vivaan,Das,43,39,5,37,13
120,Vivaan,Kapoor,8,34,13,31,18
121,Anay,Ghosh,41,12,48,31,43
122,Ansh,Joshi,15,37,1,23,45
123,Shaurya,Patel,32,37,13,42,0
124,Aarav,Verma,18,5,33,17,27
125,Ayaan,Malhotra,13,17,27,36,35
126,Vihaan,Mehta,27,41,37,17,21
127,Aryan,Gupta,10,32,27,19,17
128,Anay,Sharma,33,12,2,2,22
129,Aarav,Dutta,3,8,6,43,30
130,Aditya,Roy,26,1,11,19,22
131,Om,Roy,4,11,9,47,39
132,Aditya,Ghosh,22,45,30,7,35
133,Pranav,Shah,45,26,15,15,13
134,Aarav,Verma,4,42,47,10,4
135,Dhruv,Rao,7,6,24,26,26
136,Vivaan,Mukherjee,42,38,2,15,8
137,Shaurya,Trivedi,2,15,21,45,18
138,Reyansh,Joshi,39,48,2,49,27
139,Dhruv,Gupta,15,46,40,38,41
140,Aditya,Ghosh,33,40,24,33,14
141,Ayaan,Choudhary,19,1,30,28,8
142,Aditya,Saxena,43,32,31,23,44
143,Shaurya,Reddy,33,26,43,21,18
144,Shaurya,Trivedi,50,40,7,49,31
145,Kabir,Kumar,1,3,19,48,42
146,Vivaan,Gupta,9,16,24,41,40
147,Ishaan,Bhatia,18,31,1,45,47
148,Muhammad,Dutta,21,27,23,11,3
149,Ayaan,Reddy,1,29,30,46,8
150,Kabir,Kumar,17,25,43,10,16
